----------- Comienza experimento: Control por volumen -----------
Volumen: 700.00ml
Frecuencia: 25rpm
Relacion I:E: 1:2
Iteracion: 0
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 1.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P -1.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P -1.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P -1.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P -1.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P -1.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
E 0
P 0.00
